Text,QUALITY,PERFOMANCE,CUSTOMER#SERVICE,COST,RECOMMENDATIONS
আমি এই টি-শার্ট পরতে ভালোবাসি।,1,2,2,2,2
মান সম্পর্কে খুব সন্দেহ নেই কোন সন্দেহ নেই ...,1,2,2,2,2
"সত্যিই খুব সস্তা,",2,2,2,1,2
এই দামে খুব ই ভাল ফোন,2,1,2,1,2
সাউন্ড ভালো। ধন্যবাদ,2,1,2,2,2
এটার উপর থেকে স্টিকার সরে গেল কেন..?,2,2,3,2,2
দুই নাম্বার পণ্য।,3,2,3,2,2
প্রাইজ না কমে বেড়ে গেল.,2,2,3,3,2
অবশেষে হুয়াওয়ে ওয়াই ৯ কিনে সন্তুষ্ট।,2,2,1,2,2
এখন পর্যন্ত আপনার সেবা ভাল।,2,2,1,2,2
পণ্য ঠিক মনে হচ্ছে।,1,2,2,2,2
সেরা পাওয়ার ব্যাংক,1,1,2,2,2
পণ্যটিতে আপাতত কোন ডিস্কাউন্ট অফার নেই,2,2,2,2,2
আমার জীবনে দেখা সবচাইতে খারাপ পণ্য।,3,2,3,2,2
সম্পূর্ণরূপে একটি জাল পণ্য 🤮😒😞😑,3,2,3,2,2
প্রডাক্টটি অর্ডার অনুযায়ী পেয়েছি।,2,2,1,2,2
কিনতে পারেন কোন সন্দেহ ছাড়া ।,2,2,2,2,1
ভাল মনে হয়েছে এখন পর্যন্ত।,1,1,2,2,1
কম টাকায় ভাল ফোন ।,1,1,2,1,2
বাজে ফোন,3,3,2,2,2
ভাই মোবাইলটা হাতে নেয়ার ১ঘণ্ঠা পর ডিসপ্লে নষ্ট হয়েগেছে।,2,3,2,2,2
ভাইয়া নেট প্রাইজের চেয়ে বেশি ধরা হয়েছে,2,2,3,3,2
স্বল্প মূল্যে এত ভাল আশা করি নাই।,2,2,1,1,2
ভালো মোবাইল।,1,2,2,2,2
ডিসপ্লে খুব খারাপ|,2,3,2,2,2
পরিষ্কার লাগবে না ঝিরঝির লাগবে,2,3,2,2,2
Video দেখে ভালো লাগবে না |,2,3,2,2,2
ভালো লাগলো আন্তর্জাতিক ব্র্যান্ড গুলো এখন বাংলাদেশেই পাওয়া যাচ্ছে,2,2,1,2,2
আসল প্রডাক্ট. ডেলিভারি প্যাকেজিং খুবই ভালো ছিল।,2,2,1,2,2
"ফোনটা দেখতে অনেক স্টাইলি, সেকেন্ডারি ফোন হিসেবে অনেক ভাল হবে।",2,1,2,2,2
সব কিছু ঠিক ঠাক ছিল,2,2,1,2,2
", ফোন আসলেই সুন্দর, সুন্দর লুক",1,1,2,2,2
আমি সন্তুষ্ট.....ধন্যবাদ DARAZ......,2,2,1,2,2
ঢাকার বাহিরে সেবাটি বন্ধ আছে।,2,2,2,2,2
এটার কোয়ালিটি ভাল না,3,2,2,2,2
এইরকম ফাইজলামি করার মানে কি?,2,2,3,2,2
ই-কোরিয়ার সার্ভিস অসম্ভব ভালো।,2,2,1,2,2
"ওয়াও, অরজিনাল প্রোডাক্ট।",2,2,1,2,2
"ধুরু, অমাকে হয়রানি করলেন",2,2,3,2,2
শাওমিও এখন খারাপ জিনিস দিচ্ছে,2,2,3,2,2
মানুষকে না ঠকিয়ে ভাল প্রোডাক্ট দেওয়ার ব্যবস্থা করেন।,2,2,3,2,2
এতো বাজে কমেন্টস দেখে কেনার সাহস হারিয়ে ফেলেছি,2,2,3,2,3
এইসব বাজে কমেন্ট আর রিভিউ .,2,2,3,2,2
"ফাস্ট চার্জ হয়না,",2,3,2,2,2
"এখনও কোন সমস্যা হয়নি, ভালই চলছে ।",2,1,2,2,2
আমাকে নষ্ট একটা পাওয়ার ব্যাংক দিসে,3,2,3,2,2
", আগে খুব ভাল ছিল,",3,3,2,2,2
খুবই ভালো মানের প্রোডাক্ট......,1,2,2,2,2
আপনাদের জিনিষ ফালতু কেনো?,3,3,3,2,2
দারাজ এখন চিটিং শুরু করছে,2,2,3,2,2
"মান অনুযায়ী অনেক ভাল,",1,2,2,2,2
১০০% জেনুইন।।,1,2,2,2,2
আমি এটার চরম ভাবে ভুক্তভোগী,2,2,3,2,2
আমাকে নষ্ট Power Bank দেওয়া হয়েছে,3,2,3,2,2
এটা ব্যবহার করে আমি পুরোপুরি সন্তষ্ট।,1,1,1,2,2
যাই হোক প্রোডাক্ট ভালোই।,1,2,2,2,2
প্রোডাক্ট টা অনেক ভালো।,1,2,2,2,2
প্রোডাক্ট অরিজিনাল ।,1,2,2,2,2
ডেলিভারী নিয়ে আমি সন্তুষ্ট।,2,2,1,2,2
এটা একেবারেই কাম্য না ।,2,2,3,2,2
অসাধারণ একটি পাওয়ার ব্যাঙ্ক।,1,1,2,2,2
প্যাকেজিংটা অনেক ভালো ছিল।,2,2,1,2,2
কিন্তু DARAZ এর সার্ভিস মোটেও ভালো না।,2,2,3,2,2
জিনিশ আসল। সুপার ফাস্ট ডেলিভারি।,1,2,3,2,2
"এক কথায়, কম দামে ভালো জিনিস",1,2,2,1,2
প্রোডাক্ট অরজিনাল,1,1,2,2,2
যেটা দারাজ থেকে আশা করি নাই :(,2,2,3,2,2
আমার কাছে প্রচুর পরিমাণে রাগ উঠে,2,2,2,2,2
মোটামুটি ভালই ব্যাকআপ পাচ্ছি,2,1,2,2,2
এটা বেস্ট।,1,1,2,2,2
খুব ভাল প্রোডাক্ট,1,2,2,2,2
"অনেক ভাল power bank,",1,1,2,2,2
"ক্যাশ ব্যাক দেয়নি, বাজে ব্যাপার।",2,2,3,2,2
অনেক সুন্দর প্রোডাক্ট। Like it,1,2,1,2,2
এই প্রোডাক্ট এর কোয়ালিটি ভাল,1,2,2,2,2
প্রতারণা করে আর কয়দিন চলবেন?,2,2,3,2,2
প্রথমে যেটা পাঠিয়েছে সেটার ফ্ল্যাস লাইট নষ্ট ছিল।,3,3,2,2,2
সব মিলিয়ে যথেস্ট ভালো সার্ভিস দিচ্ছে।,2,2,1,2,2
কোয়ালিটি আমার মন মত হয়েছে। ধন্যবাদ,1,2,1,2,2
আমি যেমন আশা করেছিলাম তেমনই পেয়েছি।,2,2,1,2,2
মোবাইলের কোন সমস্যা হয় নাই চার্জ দেয়ার পর।,2,1,2,2,2
"১ম দুই দাগ সাথে সাথে চার্জ উঠে যায়, হায়রে!",2,3,2,2,2
প্রোডাক্টটা ভালো,1,1,2,2,2
খারাপ কোয়ালিটির প্রোডাক্ট পেয়েছি।,3,2,2,2,2
দুঃখিত স্যার।,2,2,3,2,2
মানও ভালো,1,2,2,2,2
বাজার এর চেয়ে অনেক কমে পাওা গেলো ।,2,2,2,1,2
বাটপারির একটা সীমা থাকা উচিৎ,2,2,3,2,2
কোনো সমস্যা হয়নি ব্যবহার করতে,2,2,2,2,1
আমার ভাল লেগেছে।,2,2,1,2,2
ঠকানোর এক ধান্দাবাজি আইডিয়া ।,2,2,3,2,2
যত্তসব ঠগের দল ।,2,2,3,2,2
"আমার কাছে ভাল লেগেছে,",2,2,2,2,1
প্রোডাক্ট এর কোওয়ালিটি ভাল,1,2,2,2,2
"নষ্ট প্রডাক্ট পায়ছিলাম,দাম কম ছিল",3,2,3,1,2
ভালো অবস্থায় পেয়েছি।,1,2,2,2,2
প্রোডাক্টে কোন সমস্যা নেই,1,2,2,2,2
"খুবই সুন্দর সার্ভিস পাচ্ছি,",2,2,1,2,2
ওভারঅল সবকিছুই ভাল‌।,1,2,2,2,2
বেশ ভালো।,1,2,1,2,2
খুবই সন্তুষ্ট প্রোডাক্ট টি পেয়ে,1,2,1,2,2
প্রয়োজনীয় পন্য।,1,2,2,2,2
এই পর্যন্ত কোনো সমস্যা হয়নি ব্যবহার করতে ।,1,1,2,2,2
"প্রোডাক্ট এর কোওয়ালিটি খুবই ভাল,",1,2,2,2,2
দাম অনুযায়ী পণ্য ঠিক ই আছে ।,1,2,2,1,2
ভালো মানের তার দিয়েছে,1,2,1,2,2
নষ্ট মাল পাঠানো হয়েছে,3,2,3,2,2
"সবকিছুই ঠিক আছে ,",2,2,1,2,2
এটা তা সাপোর্ট করে না।,2,3,2,2,2
নষ্ট হেডফোন দিছে দারাজ,3,2,3,2,2
পুরাই ফালতু,3,2,3,2,2
পণ্য হাতে পেয়ে হতাশ হয়ে গেলাম।,3,2,3,2,2
কোন কাজের না।,2,3,2,2,2
একদম বাজে প্রোডাক্ট।,3,2,2,2,2
মনে হয় নষ্ট হয়ে যাবে।,2,3,2,2,2
সাউন্ড কোয়ালিটি ভাল হবে না জানি।,2,3,2,2,2
এর থেকে ফুটপাথের হেডফোন অনেক ভালো।,2,3,3,2,3
১০০ টাকা হিসেবে ভালই,1,2,2,1,2
১ নম্বরের ভাওতাবাজি।,2,2,3,2,2
মাইক্রোফোন কাজ করে না,2,3,2,2,2
চার্জ ১০ মিনিটের বেশি থাকে না।,2,3,2,2,2
এক কানের সাউন্ড ক্লিয়ার না,2,3,2,2,2
মন উঠে গেছে পুরাই 😥,2,2,3,2,2
দাম অনুযায়ী খারাপ না,1,2,2,1,2
"ভাল না,",3,3,2,2,2
এ দেখি অনই হয় না।,2,3,2,2,2
"খুব বাজে কোয়ালিটি, কিনে ঠকেছি।",3,2,3,2,2
তাই বলে এতটা খারাপ হবে ভাবিনি।,3,2,3,2,2
দাম হিসেবে ভালোই আছে!,2,2,2,1,2
অতি দেরিতে ডেলিভারি।,2,2,3,2,2
দাম অনুযায়ী ঠিক আছে ।,2,2,2,1,2
সাথে বেস টাও দারুন..,2,1,2,2,2
তবে প্রোডাক্টভালি ছিলো,1,2,2,2,2
অন্য শপের তুলনায় দাম অনেক বেশী,2,5,2,3,2
ফাইজলামি অর্ডার করছি আজ আট দিন এখন পর্যন্ত পন্য হাতে পাইনি।,2,2,3,2,2
সাউন্ড ও খারাপ না!,2,1,2,2,2
ভাই hadphone সব থেকে খারাপ,2,3,2,2,2
সাউন্ড কোয়ালিটি ভালো.,1,2,2,2,2
কম দামে ভাল প্রডাক্ট।,2,2,2,1,2
দয়া করে আপনারা কিনেন না,2,2,2,2,1
ফালতু কোয়ালিটি,3,2,2,2,2
সাউন্ড কোয়ালিটি ভাল।,1,2,2,2,2
দাম হিসেবে সেই জিনিস,2,2,2,1,2
সাউন্ড কোয়ালিটি একদমই ভালো না,3,2,2,2,2
খুবই কম দামে মোটামুটি মানের হেডফোন।,1,2,2,1,2
তেমন ভাল না।,3,3,2,2,2
নিম্ন মানের প্লাস্টিক দিয়ে তৈরি,3,2,2,2,2
একদম বাজে একটা হেডফোন.,2,3,2,2,2
"খুব বাজে,",3,3,2,2,2
রিফান্ডের মারপ্যাচে ফেলে দিয়ে একস্ট্রা কামানোর ধান্ধা না?,2,2,3,2,2
পুরাই ফালতু।,3,3,2,2,2
ভন্ডামি তো ভালোই করেন।,2,2,3,2,2
ছবিতে একটা আর দিসে আরেকটা,2,2,3,2,2
এই শপ থেকে প্রোডাক্ট নিয়েন না।,2,2,2,2,3
ব্যাটারি ব্যাকআপ আর সাউন্ড কোয়ালিটিও ভাল্লাগছে!,1,1,2,2,2
এই দামে বেস্ট প্রোডাক্ট!,1,2,2,1,2
ভুয়া।,3,2,3,2,2
কোন ক্রেতা এটা অর্ডার করবেন না।,2,2,2,2,3
ফাজলামি করেন? ছবিতে একটা আর দিসেন আরেকটা।,2,2,3,2,2
ক্রয় করলে প্রতারিত হবেন।,2,2,2,2,3
এই দোকান এর সাথে ডিল না করা।,2,2,3,2,2
মানুষ ঠকানোর ধান্দা 😠।,2,2,3,2,2
পুরাই ফালতু একটা জিনিস দিছেন আপনারা৷,2,2,3,2,2
সাউন্ড কোয়ালিটি অনেক খারাপ,3,2,2,2,2
আমি আপনাদের কাছ থেকে খুবই ভাল প্রোডাক্ট পেয়েছি।,2,2,1,2,2
মানটাও অনেক ভাল।,1,2,2,2,2
ব্যাটারি নষ্ট,3,2,2,2,2
বাজে প্রডাক্ট দারাজের উচিৎ এই দোকানকে কিক আউট করা,3,2,3,2,2
ছবি আর প্রডাক্ট আকাশ পাতাল পার্থক্য।,2,2,3,2,2
"এই প্রোডাক্ট এর কোয়ালিটি খুবই ভাল,",1,2,2,2,2
"কেনার আগে ভেবে কিনবেন,",2,2,2,2,3
আমার দেখা স্পিকারের মধ্যে খুব ভাল একটা স্পিকার।,1,1,2,2,2
আমি সম্পূর্ণরুপে হতাশ।,2,2,3,2,2
"সেদিন থেকেই, আপনারাও বয়কট করুন…",2,2,2,2,3
আমার কোন ধরণের কমপ্লেইন নেই।,2,2,1,2,2
চোখ বন্ধ করে কিনে ফেলতে পারেন,2,2,2,2,1
খুবই ফালতু এবং বাজে একটা ওয়েবসাইট..,2,2,3,2,2
একটা নষ্ট ব্যান্ড পাঠানো হয়েছে আমাকে…,3,2,3,2,2
"বাইরে যাব বলা সত্ত্বেও সময় বাড়ায়নি, রিটার্ন নেয়নি…",2,2,3,2,2
আমি Daraz.com বয়কট করেছি,2,2,3,2,3
ভালো ছিল,1,1,2,2,2
দাম অনুযায়ী প্রডাক্টের ব্যাপারে সন্তুষ্ট,2,2,2,1,2
তার প্রায় সবটাই ভূয়া।,3,2,3,2,2
আরো অনেক ভাল লাগলো,2,2,1,2,2
নিম্মমানের প্লাস্টিক ব্যবহার করা হয়েছে ।,3,2,2,2,2
VR Box টা যতটা ভাল,1,1,2,2,2
জিনজিরা তেও এর চেয়ে সুন্দর প্রোডাক্ট বানাইতে পারে।,2,2,2,2,2
দাম হিসাবে জিনিটা ঠিকই আছে। 👍👍👍,2,2,2,1,2
খাঁটি দুই নাম্বার বস্তু।,3,2,3,2,2
টাকা নষ্ট।,2,2,2,3,2
এইরকম নকল ফালতু প্রডাক্ট আমি কল্পনাও করিনি।,3,2,2,2,2
জঘন্য প্রডাক্ট,3,2,2,2,2
ফালতু শুধু কেনাই ছিলো আর কিছুই হয় নি,2,2,2,2,2
ফালতু একটা জিনিস দিয়েছে।,3,2,3,2,2
দাম এর চাইতেও জিনিসটা সত্যিই খুবই ভালো ছিলো।,2,2,2,1,2
জিনিস কেনায় দারাজ এর রেওপন্সও খুবই ভালো।,2,2,1,2,2
রেজুলেশন ভালো ও স্পিকার রয়েছে।,1,1,2,2,2
দাম অনুযায়ী এই পণ্য পাওয়া ভাগ্যের ব্যাপার।,2,2,2,1,2
প্রাথমিক ভিআর এক্সপেরিয়েন্স নিতে চাইলে ভালই বলা চলে।,2,1,2,2,2
দাম অনুযায়ী ভালই।,2,2,2,1,2
খুব ভাল প্রোডাক্ট।,1,1,2,2,2
দেখে ভালই মনে হচ্ছে।,1,2,2,2,2
টোটাল বাটপারি।,2,2,3,2,2
মোবাইলের স্টোরেজ হিসেবে ভাল কাজ করে।,2,1,2,2,2
গুড প্রোডাক্ট!,1,2,2,2,2
মাউস ব্যবহার করে তেমন খারাপ মনে হয়নি,2,1,2,2,2
ভাবছি রিটার্ন না দিয়ে ভোক্তা অধিকার আইনে মামলা করবো…,2,2,3,2,2
"রাইস অনুযায়ী বেষ্ট প্রোডাক্ট, thx",2,2,2,1,2
আসল ভেবে অর্ডার দিয়েছিলাম. বাকিটা ইতিহাস.,2,2,3,2,2
ভালোই লাগলো।,1,1,2,2,2
দাম অনুযায়ী অনেক ভালো,2,2,2,1,2
"দাম কম, সে হিসাবে পণ্যের মান খারাপ নয়, ভাল।",2,2,2,1,2
কম দামে ভালো মাউস ।,2,2,2,1,2
অত্যন্ত আকর্ষণীয় এটি।,1,2,2,2,2
এই দামের মধ্যে বেস্ট গেমিং মাউস,2,1,2,1,2
এই দাম এ ভালই,2,2,2,1,2
অল্প বাজেটে যারা কিবোর্ড কিনতে চাচ্ছেন তারা এই কীবোর্ডটি নিতে পারেন।,2,2,2,1,1
"কী- বোর্ড খুব ভালো, স্টাইলিশ ।",1,1,2,2,2
কি বোর্ডের বিল্ড কোয়ালিটি খুবই নিম্নমানের ।,3,2,2,2,2
সময় ও টাকা অপচয় । 😠,2,2,3,3,2
কি বোর্ড দ্বিতীয় দিনেই নষ্ট হয়ে গেছে আর মাউস গেলো ৫ দিন।,2,3,2,2,2
অসাধারন সার্ভিস।,2,2,1,2,2
খুবই ভালো কিবোর্ড।,2,1,2,2,2
তেমন ভালনা,3,3,2,2,2
কোয়ালিটি একটু নরমাল বাট ভালোই..!,1,2,2,2,2
অনেক কুল,1,2,2,2,2
পার্ফমেন্স মোটামুটি ভাল.,2,1,2,2,2
দিও ডিজাইনে তেমন একটা তফাৎ নায়..,2,2,2,2,2
ভালো। আলোটা অনেক সাদা এবং পরিষ্কার।,1,2,2,2,2
"ফটো প্রিন্ট ও ভাল,",1,1,2,2,2
ভালোই তবে আলোটা মোবাইলের ফ্ল্যাশ লাইটের চেয়েও কম।,2,3,2,2,2
Price অনুযায়ি খারাপ না তবে আলো একটু কম।,2,3,2,1,2
কথা এবং কাজের সাথে মিল পাওয়া যায়নি।,2,2,3,2,2
দাম অনুযায়ী অনেক ভালো ।,2,2,2,1,2
দাম অনুযায়ী ভাল পেয়েছি।,2,2,2,1,2
লাইট নস্ট ছিল।,3,2,2,2,2
খুবই ভাল মানের পন্য,1,2,2,2,2
আসল পণ্য পয়েছি।,1,2,2,2,2
খুব সল্প দামে প্রিন্টার টি পেলাম।,2,2,2,1,2
"প্রিন্টিং স্পিড ভাল,",2,1,2,2,2
আমার কাছে এটা অসাধারণ মনে হয়েছে,1,1,2,2,2
ডোর আটকানো যায়না।,2,3,2,2,2
এখন ও পর্যন্ত ভালোই দেখছি বাকিটুকু আল্লাহ মালুম।,1,2,2,2,2
যা রীতিমতো বিভ্রান্তিকর,2,2,3,2,2
এত কম দামে এতো ভালো টিভি ভাবাই যায় না,2,2,2,1,2
আমার পরিচিত যারা ওভেন কিনেছে তারা সবাই এইটা কিনতে নিষেধ করেছে।,2,2,2,2,3
দুই নাম্বারি করলে ভবিষ্যতে না খেয়ে মরতে হবে।,2,2,3,2,2
এই ওভেন টা ভালো না।,3,2,2,2,2
"আপনাদের সার্ভিস খুবই ফালতু,",2,2,3,2,2
ভালো মেশিন,1,1,2,2,2
খারাপ না,1,1,2,2,2
এভাবে offer এর নামে মানুষ ঠকাচ্ছেন কেন?,2,2,3,2,2
দাম অনুসারে ঠিক আছ্র।,2,2,2,1,2
প্যাকেজিং টা পছন্দ হয়েছে।,2,2,1,2,2
অনেক ভাল ঘড়ি,1,1,2,2,2
আমি সত্যিই বাকরুদ্ধ..!,2,2,2,2,2
বাহ..! অনেক সুন্দর ঘড়ি পাঠিয়েছেন..! 👏,1,2,1,2,2
উল্টাপাল্টা সেটাপে চায়না ঘড়ি ডেলিবারী দিসেন,3,2,3,2,2
দারুন একটা ওয়াচ।,1,1,2,2,2
"এই নিন ৫ star, কারন যেমন দেখিয়েছেন তেমন জিনিস ই পেয়েছি",2,2,1,2,2
হাতে পড়লে প্রিমিয়াম ফিল আসে।,1,1,2,2,2
আপনাদের প্রোডাক্ট পেয়ে আমি খুশি।,2,2,1,2,2
অনেক ভালো মানের ঘড়ি,1,2,2,2,2
ঘড়িটা ভাল।আর ছাঁড়ে পাইছি।,1,2,2,2,2
কম দামে ভাল একটা ঘড়ি।,2,2,2,1,2
"অনেক ভাল মানের একটি ঘড়ি,",1,2,2,2,2
"ভালো ছিলো, মানানসই",,,,,
খুব খারাপ ঘড়ি আমি ৩ দিন ও ব্যবহার করতে পারলাম না।,,,,,
মিল নাই অন্য সব কিছু ছবির সাথে।,,,,,
এর থেকে খারাপ বেল্ট আর কিছু নাই,,,,,
"এখন আর চলে না, একদন নষ্ট হয়ে গেছে",,,,,
ঘড়ির বেল্ট জঘন্য,,,,,
picture এর সাথে product এর অনেক পার্থক্য,,,,,
আমার কাছে অনেক ভাল লেগেছে ঘড়িটা।,,,,,
বাটপার।,,,,,
শুধু টাকা নষ্ট করলাম।,,,,,
ঘরিটা সুন্দর,,,,,
ভালোই মনে হচ্ছে।,,,,,
আমার পারসোনালি নেভীফোরসের ওয়াচ অনেক ভালো লাগে,,,,,
এর কোয়ালিটি খুবই ভালো।,,,,,
এটি নিয়ে আমি অনেক সন্তুষ্ট,,,,,
এই দামের মধ্যে সুন্দর একটি ঘড়ি..,,,,,
দামী জিনিস যেমন হয় আরকি,,,,,
ফরমাল ড্রেসের সাথে ম্যাচ করে ভালো।,,,,,
"সেরা সেরা সেরা,.......",,,,,
আর গিফট বক্স ও দেয়নাই। সব বাটপার..,,,,,
খুব ভালো একটা প্রডাক্ট,,,,,
কথা আর কাজে কোন মিল নাই।,,,,,
"প্রোডাক্টটি এককথায় অনেক ভালো ,",,,,,
ভালো একটি বেল্ট,,,,,
অনেক সুন্দর কোয়ালিটি দারুন,,,,,
অনেক ভালো লাগছে।,,,,,
ভাল...লাগছে...ব্যবহার করে....,,,,,
বেল্টটি পছন্দ হইছে।,,,,,
বাজে৷ খুব বাজে৷,,,,,
আমার কাছে ভাল কোয়ালিটি মনে হয়েছে,,,,,
অবশ্য খারাপ না....!!,,,,,
"যেমন দেখেছি, ওই অনুযায়ী একই বেল্ট পেয়েছি। ।",,,,,
দাম অনুযায়ী ঠিক আছে।,,,,,
এটা জেনুইন লেদার না,,,,,
এইভাবে মানুষকে খারাপ প্রোডাক্ট দিলে মার্কেটে টিকবেনা বেশীদিন,,,,,
আপাতত পছন্দ হইছে।,,,,,
পুরাই ফালতু 😌 এর চেয়ে ফুটপাথ এ ভালো প্রডাক্ট পাওয়া যায় ১০০ টকার মধ্যে।,,,,,
ডিজাইন ও সুন্দর।,,,,,
বেল্ট এর কোয়ালিটি ভালো ছিল,,,,,
ভালো কে ভালো বলতেই হবে।,,,,,
দামের তুলনায় ভালো।,,,,,
এই দামে খারাপ না,,,,,
বেশী একটা ভালো না,,,,,
দাম অনুযায়ী খুবই ভাল মানের এই বেল্ট।,,,,,
কোন রকম চিন্তা ভাবনা না করেই কিনতে পারেন।,,,,,
ব্যবহার এ ও কোনো সমস্যা হয়নি।,,,,,
এই দামের মধ্যে অনেক ভালো। সেটিসফাইড।,,,,,
এই বেল্ট সত্যিই অনেক ভালো।,,,,,
"অনেক ভাল ছিল, ঠিক যেমন দেখেছি তেমন এ।",,,,,
এতো কম দামে আমি এটা কিনতে পেরে খুবই সন্তুষ্ট।,,,,,
এত কম দামে এটি কিনতে পেরে আনন্দিত।,,,,,
চোখ বন্ধ করে এদের কাছ থেকে প্রোডাক্ট নেয়া যায়।,,,,,
"খুব বাজে ও নিম্ন মানের, কোয়ালিটির পণ্য।",,,,,
যদি ও অরজিনাল লেদার না তবে দাম হিসাবে প্রোডাক্ট খুব বেশী ভাল।,,,,,
পণ্যের মান যথেষ্ট ভাল।,,,,,
মনের মত পণ্য পেয়েছি। গুনগত মান অতুলনীয়।,,,,,
আমার কাছে এই পর্যন্ত সবচেয়ে ভাল লেগেছে।,,,,,
ক্লোন ওয়ালেটের মধ্যে এটার মান সবচেয়ে ভাল।,,,,,
ওয়ালেটটির সবকিছুই অামার ভালো লেগেছে।,,,,,
যেমনটা ভেবেছি ঠিক তেমনই।,,,,,
ঢাকার মধ্যেই বাটপারি,,,,,
মানিব্যাগটা বেশ সুন্দর এবং ফ্যাশ্যানেবল।,,,,,
"কোন মানেই হয় না, এটা কেনার।",,,,,
আমি এটা ফেলে দিয়েছি।,,,,,
বাটপারির একটা সীমা থাকে।,,,,,
"বাজে লেদার,",,,,,
ছবির মত প্রোডাক্ট আমাকে দেয়া হয়নি।,,,,,
নিলেই ধরা খাবেন।যেমন আমি খেলাম।,,,,,
খুবিই নিম্নমানের পন্য।,,,,,
over all ভালো,,,,,
৪০ টাকা দামের খুবিই নিম্ন মানের প্রোডাক্ট।,,,,,
ডিজাইন সুন্দর।,,,,,
material টা মোটামুটি।,,,,,
কেউ কিনবেন না এই প্রোডাক্ট।,,,,,
Design খুবই সুন্দর।,,,,,
প্রোডাক্ট কোয়ালিটি বাজে।,,,,,
রোডাক্ট টি ভালো তবে দাম একটু বেশী মনে হলো।,,,,,
মিথ্যা কথা বলে প্রোডাক্ট বিক্রি করেন।,,,,,
আপনার কোম্পানির উপর নেতিবাচক প্রভাব পড়বে,,,,,
আমি খুশি।,,,,,
একদম থার্ড ক্লাস মার্কা একটা জিনিস,,,,,
ব্যবহার করে আমার ভালো লাগছে।,,,,,
এভাবে মোবাইল রাখা যায় কথা না বলে বিক্রি করাই ভালো ছিল।।,,,,,
টাকা হিসেবে প্রোডাক্ট এর মান অতটা ভালো না।,,,,,
ভালো পন্য।,,,,,
আমি সবাইকে অনুরোধ করবো এটি না কেনার জন্য,,,,,
দুইটার কোয়ালিটিতে গড়মিল আছে,,,,,
ভালো ছিলো।,,,,,
মানি ব্যাগ টা খুব নরমাল।,,,,,
কোয়ালিটি দাম হিসেবে ভালোই.,,,,,
প্রোডাক্ট গুলোর কোয়ালিটি দামের তুলনায় ভালো ছিল না।,,,,,
quality r very poor...pic r সাথে কোন মিল নাই..,,,,,
"পাঞ্জাবীর কোয়ালিটি খুবই বাজে ছিল, না",,,,,
এভাবে কাউকে ঠকাবেন না দয়া করে।,,,,,
খুবই পাতলা কাপড় & এক ধোয়াতেই নষ্ট হয়ে গিয়েছে????????,,,,,
ফালতু প্রোডাক্ট ।,,,,,
এসব লোভনীয় অফার দিয়ে কোনো কাস্টমার কে ঠকাবেন না,,,,,
আম্মু গালি দিয়েছে প্রচুর এত খারাপ কাপড় দেখে।,,,,,
গেঞ্জির পিছনে একটা ফুটো।এত বাজে হবে ভাবতেই পারিনি।,,,,,
কোয়ালিটি খারাপ,,,,,
কাপড় একেবারেই ভাল না।,,,,,
একদিন ধোয়ার পর ফ্যাকাশে হয়ে গেছে।,,,,,
দামের ক্ষেত্রে সন্তোষজনক কাপড়।,,,,,
